ID,nest_name,nest_status,tree_species,country,canton,elev_swiss_maps,coordX,coordY,municipality,location
682,Ueberstorf_Ufem_Burst_20,active,Pinus strobus (Weymouth pine),Switzerland,FR,721.3,7.341996005,46.86726039,Ueberstorf,Ufem
683,St. Sylvester_Metzgera,nest gone,Fagus sylvatica (Beech),Switzerland,FR,784.1,7.225959638,46.7462887,St. Sylvester,Metzgera
684,Elisried_Fuhren,nest gone,Abies alba (Silver fir),Switzerland,BE,766.4,7.367173824,46.82411404,Elisried,Fuhren
685,Scwarzenburg_Chilchermatt_20,present,Abies alba (Silver fir),Switzerland,BE,818.6,7.352616764,46.8105399,Scwarzenburg,Chilchermatt
686,Milken_Trombyfang,present,Abies alba (Silver fir),Switzerland,BE,865.8,7.344562645,46.79497131,Milken,Trombyfang
687,Heitenried_Oberwinterlingen,present,Quercus robur (English Oak),Switzerland,FR,782.3,7.285679327,46.82046658,Heitenried,Oberwinterlingen
688,Guggisberg_Laubbachgraben_20,present,Picea abies (Norwegian Spruce),Switzerland,BE,869,7.316755915,46.75272953,Guggisberg,Laubbachgraben
689,Uebestorf_Mischlere_20,present,Picea abies (Norwegian Spruce),Switzerland,FR,682.1,7.301285968,46.85280835,Uebestorf,Mischlere
690,Uebestorf_Hargart,present,Quercus robur (English Oak),Switzerland,BE,787.3,7.326231462,46.8578262,Uebestorf,Hargart
691,Guggisberg_gummeli,present,Fagus sylvatica (Beech),Switzerland,BE,1040.4,7.322793589,46.76351264,Guggisberg,gummeli
692,St. Antoni_Weissenbach_20,present,Picea abies (Norwegian Spruce),Switzerland,FR,704.4,7.248732205,46.81648227,St. Antoni,Weissenbach
693,Ependes_Ependes_20,active,Picea abies (Norwegian Spruce),Switzerland,FR,687.6,7.14906172,46.7590464,Ependes,Ependes
694,Uebestorf_Mischlere_W,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,697.9,7.299564498,46.85239921,Uebestorf,Mischlere
695,St. Antoni_Dürrenboden,nest gone,Acer sp (maple),Switzerland,FR,766.7,7.301492709,46.80979142,St. Antoni,Dürrenboden
696,Cordast_Petit Vivy,present,Fagus sylvatica (Beech),Switzerland,FR,544.8,7.173721874,46.86812815,Cordast,Petit Vivy
697,Zumholz_Brand_20,present,Fraxinus sp (Ash),Switzerland,FR,874.2,7.289340208,46.76113148,Zumholz,Brand
698,Niederwil_Fuchsloch_20,present,Fagus sylvatica (Beech),Switzerland,SG,608.1,9.19163712,47.42988531,Niederwil,Fuchsloch
699,Stein am Rhein_Kaltenbach,nest gone,Picea abies (Norwegian Spruce),Switzerland,TG,457.6,8.825008852,47.65408143,Stein am Rhein,Kaltenbach
701,Alterswil_Wolgiswil_20,nest gone,Pinus sylvestris (Scots pine),Switzerland,FR,731.7,7.237305355,46.79311296,Alterswil,Wolgiswil
702,Rueggisberg_Hinterfultigen_20,nest gone,Abies alba (Silver fir),Switzerland,BE,787.5,7.412827416,46.83989082,Rueggisberg,Hinterfultigen
703,Rueggisberg_Schwanden,nest gone,Quercus robur (English Oak),Switzerland,BE,841.3,7.406973285,46.81296225,Rueggisberg,Schwanden
704,Rechthalten_Gäu,nest gone,Abies alba (Silver fir),Switzerland,FR,920.9,7.25992151,46.76375756,Rechthalten,Gäu
705,Schwarzenburg_Chilchermatt Galtern,tree gone,Picea abies (Norwegian Spruce),Switzerland,BE,875.3,7.353282674,46.80857324,Schwarzenburg,Chilchermatt Galtern
706,Schwarzenburg_Waldgasse_20,nest gone,Abies alba (Silver fir),Switzerland,BE,845.1,7.328721503,46.80785972,Schwarzenburg,Waldgasse
707,Bösingen_Risau new,present,Fagus sylvatica (Beech),Switzerland,BE,494.4,7.214831078,46.90133811,Bösingen,Risau new
708,Uebestorf_Summerau_20,tree gone,Pinus sylvestris (Scots pine),Switzerland,BE,767.2,7.329404636,46.85104077,Uebestorf,Summerau
709,Uebestorf_Guldifeld_20,present,Quercus robur (English Oak),Switzerland,FR,648.3,7.320094481,46.87627449,Uebestorf,Guldifeld
710,Alterswil_Wolperswil_20,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,731.1,7.24993035,46.78550748,Alterswil,Wolperswil
711,Alterswil_Wengliswil_20,present,Quercus robur (English Oak),Switzerland,FR,845.5,7.282608954,46.78213223,Alterswil,Wengliswil
712,Massonens_Neirigue,nest gone,Fagus sylvatica (Beech),Switzerland,FR,758.8,6.951527307,46.68303736,Massonens,Neirigue
713,Meikirch_Weissenstein,present,Picea abies (Norwegian Spruce),Switzerland,BE,628.5,7.379832345,47.00385668,Meikirch,Weissenstein
714,Schmitten_Lehm,active,Picea abies (Norwegian Spruce),Switzerland,FR,636.8,7.25954058,46.85420774,Schmitten,Lehm
715,Czech_Republic,present,Fraxinus sp (Ash),Czechia,Blansko,NA,16.57328165,49.42151955,Czech,Republic
716,Düdingen_Brugeraholz,nest gone,Pinus sylvestris (Scots pine),Switzerland,FR,676.3,7.20629397,46.84858789,Düdingen,Brugeraholz
717,Alterswil_Rüti_20,present,Picea abies (Norwegian Spruce),Switzerland,FR,802.4,7.266288744,46.77614179,Alterswil,Rüti
718,Bourguillon_Gottéron_20,nest gone,"Tilia sp (lime, linden)",Switzerland,FR,655.3,7.17477278,46.80184666,Bourguillon,Gottéron
719,Huttwil_Bühl,active,Abies alba (Silver fir),Switzerland,BE,741.7,7.835948719,47.0951964,Huttwil,Bühl
720,Le Mouret_Sur la Fin,active,Quercus robur (English Oak),Switzerland,FR,747.1,7.184689698,46.74222156,Le Mouret,Sur la Fin
721,Neuenegg_Freiburghaus,present,Fagus sylvatica (Beech),Switzerland,BE,555.8,7.279543704,46.8998058,Neuenegg,Freiburghaus
